                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                   0.88,                0.40008,                0.91997,                0.99931,                      1,                  0.995,                0.75766,                0.92387,                0.34724,                0.97408,              0.0096436,              0.0096436,              0.0096436
                     38,                0.88243,                0.39672,                0.91539,                0.99922,                      1,                  0.995,                0.77462,                0.91121,                0.34069,                0.96128,              0.0096337,              0.0096337,              0.0096337
                     39,                  0.882,                0.39267,                0.91872,                0.99906,                      1,                  0.995,                0.77985,                0.87801,                0.33075,                0.95188,              0.0096238,              0.0096238,              0.0096238
                     40,                0.87996,                0.39067,                0.91727,                0.99928,                      1,                  0.995,                0.78464,                0.88001,                0.32553,                0.95216,              0.0096139,              0.0096139,              0.0096139
                     41,                  0.879,                0.39133,                0.91823,                0.99936,                      1,                  0.995,                0.78403,                0.90099,                 0.3459,                0.95692,               0.009604,               0.009604,               0.009604
                     42,                0.86926,                0.38557,                0.91304,                0.99928,                      1,                  0.995,                0.77569,                0.90511,                0.33407,                0.96384,              0.0095941,              0.0095941,              0.0095941
                     43,                0.87469,                0.38713,                0.91374,                0.99904,                      1,                  0.995,                0.78353,                0.91306,                0.33797,                0.95131,              0.0095842,              0.0095842,              0.0095842
                     44,                0.88997,                 0.3927,                0.91997,                0.99921,                      1,                  0.995,                0.76627,                0.90517,                0.34089,                0.95053,              0.0095743,              0.0095743,              0.0095743
                     45,                0.87765,                0.38752,                 0.9143,                0.99913,                      1,                  0.995,                0.77693,                0.91612,                0.33784,                 0.9597,              0.0095644,              0.0095644,              0.0095644
                     46,                 0.8651,                0.38528,                0.91051,                0.99933,                      1,                  0.995,                0.78286,                0.91531,                0.33138,                0.96554,              0.0095545,              0.0095545,              0.0095545
                     47,                0.87679,                0.38398,                 0.9144,                0.99935,                      1,                  0.995,                0.77577,                0.91239,                0.32951,                0.97184,              0.0095446,              0.0095446,              0.0095446
                     48,                0.86837,                0.37851,                0.91492,                0.99936,                      1,                  0.995,                0.78526,                0.88384,                0.32891,                0.95065,              0.0095347,              0.0095347,              0.0095347
                     49,                0.87097,                0.38315,                0.91492,                0.99938,                      1,                  0.995,                0.78047,                0.90913,                0.33048,                0.95634,              0.0095248,              0.0095248,              0.0095248
