                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.92806,                0.39735,                0.94042,                0.99931,                      1,                  0.995,                0.76631,                0.93854,                 0.3365,                0.97445,              0.0096436,              0.0096436,              0.0096436
                     38,                0.92924,                0.39886,                0.93796,                0.99924,                      1,                  0.995,                0.77822,                 0.9115,                0.32653,                0.96123,              0.0096337,              0.0096337,              0.0096337
                     39,                 0.9176,                0.39454,                0.93477,                0.99906,                      1,                  0.995,                0.77472,                0.89561,                0.32554,                0.94802,              0.0096238,              0.0096238,              0.0096238
                     40,                0.92476,                0.39835,                0.93885,                0.99919,                      1,                  0.995,                0.76396,                0.92538,                0.35576,                0.95355,              0.0096139,              0.0096139,              0.0096139
                     41,                0.92724,                0.39129,                0.93692,                0.99926,                      1,                  0.995,                0.78512,                0.89817,                0.32377,                0.95374,               0.009604,               0.009604,               0.009604
                     42,                0.91472,                0.39083,                 0.9296,                0.99935,                      1,                  0.995,                0.77931,                 0.9084,                0.32815,                0.95179,              0.0095941,              0.0095941,              0.0095941
                     43,                0.91478,                0.39103,                0.93609,                 0.9993,                      1,                  0.995,                0.78618,                0.90343,                0.32507,                0.95805,              0.0095842,              0.0095842,              0.0095842
                     44,                0.92735,                0.39235,                0.93707,                0.99938,                      1,                  0.995,                0.78104,                0.89367,                0.32955,                0.94966,              0.0095743,              0.0095743,              0.0095743
                     45,                0.91524,                0.38888,                0.93112,                0.99931,                      1,                  0.995,                 0.7795,                0.88941,                0.32605,                 0.9447,              0.0095644,              0.0095644,              0.0095644
                     46,                0.91215,                0.38783,                0.92769,                0.99927,                      1,                  0.995,                0.79283,                0.87182,                0.31745,                0.94438,              0.0095545,              0.0095545,              0.0095545
                     47,                0.91603,                0.38635,                0.93604,                0.99928,                      1,                  0.995,                0.78713,                0.89138,                0.32372,                0.95462,              0.0095446,              0.0095446,              0.0095446
                     48,                0.90062,                0.38518,                0.92772,                0.99932,                      1,                  0.995,                0.77617,                0.89174,                0.31846,                0.95421,              0.0095347,              0.0095347,              0.0095347
                     49,                0.90828,                0.38581,                0.93252,                0.99926,                      1,                  0.995,                 0.7829,                0.88586,                0.31375,                0.95711,              0.0095248,              0.0095248,              0.0095248
                     50,                0.91581,                0.38755,                0.93162,                0.99928,                      1,                  0.995,                0.78785,                0.89501,                0.31726,                0.95791,              0.0095149,              0.0095149,              0.0095149
                     51,                0.89732,                 0.3794,                0.92843,                 0.9991,                      1,                  0.995,                0.79061,                0.86591,                0.31572,                0.94011,               0.009505,               0.009505,               0.009505
                     52,                0.91111,                0.38347,                0.93242,                0.99958,                      1,                  0.995,                0.78458,                0.90917,                0.33003,                0.96505,              0.0094951,              0.0094951,              0.0094951
                     53,                0.89982,                0.37832,                0.92709,                0.99936,                      1,                  0.995,                0.78407,                 0.9148,                0.32388,                0.95244,              0.0094852,              0.0094852,              0.0094852
                     54,                0.89471,                0.37878,                0.92348,                0.99918,                      1,                  0.995,                0.79052,                 0.8918,                0.32531,                0.95011,              0.0094753,              0.0094753,              0.0094753
                     55,                0.88891,                0.38032,                0.92358,                0.99916,                      1,                  0.995,                0.79617,                0.88768,                0.31792,                  0.945,              0.0094654,              0.0094654,              0.0094654
                     56,                    0.9,                0.37774,                0.93224,                0.99927,                      1,                  0.995,                0.77762,                0.88644,                0.31236,                0.95159,              0.0094555,              0.0094555,              0.0094555
                     57,                0.88831,                0.37023,                0.93044,                0.99936,                      1,                  0.995,                0.78913,                0.88782,                0.31264,                0.95566,              0.0094456,              0.0094456,              0.0094456
                     58,                0.89036,                0.37609,                0.92881,                 0.9992,                      1,                  0.995,                0.78606,                 0.9159,                0.32599,                0.95874,              0.0094357,              0.0094357,              0.0094357
                     59,                0.89854,                0.37683,                0.92872,                0.99948,                      1,                  0.995,                0.79416,                0.88925,                0.31284,                0.95547,              0.0094258,              0.0094258,              0.0094258
                     60,                0.89734,                0.37477,                 0.9263,                0.99923,                      1,                  0.995,                0.77952,                0.89157,                0.31602,                0.95202,              0.0094159,              0.0094159,              0.0094159
                     61,                0.88676,                0.37011,                0.92218,                0.99928,                      1,                  0.995,                0.79756,                0.88941,                0.31473,                0.95427,               0.009406,               0.009406,               0.009406
                     62,                0.87554,                0.37222,                0.92056,                0.99925,                      1,                  0.995,                0.78673,                0.88755,                0.30683,                0.94655,              0.0093961,              0.0093961,              0.0093961
                     63,                0.88927,                0.37379,                0.92964,                0.99977,                      1,                  0.995,                0.79244,                 0.9095,                0.32122,                0.96126,              0.0093862,              0.0093862,              0.0093862
                     64,                0.89066,                0.37098,                0.92787,                0.99952,                      1,                  0.995,                0.77534,                0.90569,                0.31374,                 0.9576,              0.0093763,              0.0093763,              0.0093763
                     65,                0.88071,                0.36903,                0.92593,                      1,                      1,                  0.995,                0.79241,                0.90029,                0.31179,                0.95506,              0.0093664,              0.0093664,              0.0093664
                     66,                0.87708,                0.36532,                0.92451,                0.99924,                      1,                  0.995,                0.77896,                0.90768,                0.30625,                0.95368,              0.0093565,              0.0093565,              0.0093565
                     67,                 0.8903,                0.37475,                 0.9306,                0.99927,                      1,                  0.995,                0.79568,                 0.8799,                 0.3112,                0.94665,              0.0093466,              0.0093466,              0.0093466
                     68,                0.87903,                0.37062,                0.92132,                 0.9993,                      1,                  0.995,                0.78654,                0.89034,                0.30438,                0.94333,              0.0093367,              0.0093367,              0.0093367
                     69,                0.87583,                 0.3651,                0.92315,                0.99927,                      1,                  0.995,                0.76818,                 0.9175,                0.31154,                0.95722,              0.0093268,              0.0093268,              0.0093268
                     70,                0.87747,                0.37045,                 0.9217,                0.99934,                      1,                  0.995,                0.78682,                0.88465,                 0.3153,                 0.9539,              0.0093169,              0.0093169,              0.0093169
                     71,                0.88176,                0.36852,                0.92483,                0.99932,                      1,                  0.995,                0.78481,                0.88661,                0.31295,                 0.9517,               0.009307,               0.009307,               0.009307
                     72,                0.86699,                0.36624,                 0.9203,                0.99947,                      1,                  0.995,                0.78745,                0.87146,                0.30465,                0.94881,              0.0092971,              0.0092971,              0.0092971
