                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.81813,                0.35617,                0.88505,                0.99887,                      1,                  0.995,                0.79014,                0.91083,                0.31564,                0.93456,              0.0096436,              0.0096436,              0.0096436
                     38,                0.81038,                0.35815,                0.88122,                0.99928,                      1,                  0.995,                0.79629,                0.87177,                0.31031,                0.92654,              0.0096337,              0.0096337,              0.0096337
                     39,                0.81169,                0.35272,                0.88196,                0.99919,                      1,                  0.995,                0.78946,                0.88601,                 0.3161,                0.92462,              0.0096238,              0.0096238,              0.0096238
                     40,                0.81459,                0.35578,                0.88232,                0.99935,                      1,                  0.995,                0.79208,                0.87382,                0.30913,                0.92831,              0.0096139,              0.0096139,              0.0096139
                     41,                0.81417,                0.35346,                0.88345,                 0.9994,                      1,                  0.995,                0.79548,                0.87597,                0.30247,                0.92226,               0.009604,               0.009604,               0.009604
                     42,                0.80397,                0.34761,                0.87858,                0.99922,                      1,                  0.995,                0.78823,                0.92613,                 0.3085,                0.93852,              0.0095941,              0.0095941,              0.0095941
                     43,                0.80535,                0.34555,                0.88004,                 0.9993,                      1,                  0.995,                0.78733,                0.89566,                0.31063,                0.92227,              0.0095842,              0.0095842,              0.0095842
                     44,                0.82201,                0.35239,                0.88458,                0.99902,                      1,                  0.995,                0.78248,                 0.8994,                0.31058,                0.92606,              0.0095743,              0.0095743,              0.0095743
                     45,                 0.8104,                0.35162,                0.88074,                0.99928,                      1,                  0.995,                0.80845,                0.87778,                0.30986,                0.92391,              0.0095644,              0.0095644,              0.0095644
                     46,                0.80122,                0.34725,                0.87696,                0.99938,                      1,                  0.995,                0.78897,                0.88411,                0.30491,                0.92899,              0.0095545,              0.0095545,              0.0095545
                     47,                0.80516,                0.35189,                0.87956,                0.99929,                      1,                  0.995,                0.79246,                0.88906,                0.30209,                0.93482,              0.0095446,              0.0095446,              0.0095446
                     48,                0.80166,                0.34487,                0.88176,                0.99937,                      1,                  0.995,                0.79181,                0.89668,                0.30824,                0.93128,              0.0095347,              0.0095347,              0.0095347
                     49,                0.80332,                0.34743,                0.88037,                0.99937,                      1,                  0.995,                0.80441,                0.87728,                0.29871,                0.92688,              0.0095248,              0.0095248,              0.0095248
                     50,                0.80249,                0.34541,                0.87928,                 0.9991,                      1,                  0.995,                0.80728,                0.88793,                0.30491,                0.92957,              0.0095149,              0.0095149,              0.0095149
                     51,                0.79211,                0.34271,                0.87677,                0.99933,                      1,                  0.995,                0.80668,                0.87703,                0.30687,                0.92508,               0.009505,               0.009505,               0.009505
                     52,                0.80188,                0.34276,                0.88119,                0.99961,                      1,                  0.995,                0.79527,                0.88825,                 0.3038,                0.92211,              0.0094951,              0.0094951,              0.0094951
                     53,                0.79565,                0.34533,                0.87796,                0.99901,                      1,                  0.995,                0.80077,                 0.8996,                0.31075,                0.93392,              0.0094852,              0.0094852,              0.0094852
                     54,                0.79585,                0.34479,                0.87516,                0.99976,                      1,                  0.995,                0.80016,                0.86837,                0.30593,                 0.9251,              0.0094753,              0.0094753,              0.0094753
                     55,                0.79589,                0.34477,                0.87569,                0.99913,                      1,                  0.995,                0.79732,                0.87033,                0.29785,                0.92322,              0.0094654,              0.0094654,              0.0094654
                     56,                0.79222,                 0.3425,                0.88088,                0.99933,                      1,                  0.995,                0.80529,                0.85704,                0.30355,                0.91247,              0.0094555,              0.0094555,              0.0094555
                     57,                0.77962,                0.33624,                0.87826,                0.99933,                      1,                  0.995,                0.80149,                0.89287,                0.30797,                0.92802,              0.0094456,              0.0094456,              0.0094456
                     58,                0.77854,                0.33463,                0.87802,                0.99915,                      1,                  0.995,                0.80921,                0.85226,                0.29462,                0.91661,              0.0094357,              0.0094357,              0.0094357
                     59,                0.78805,                0.33687,                0.87528,                0.99932,                      1,                  0.995,                0.80023,                 0.8683,                0.30359,                0.91965,              0.0094258,              0.0094258,              0.0094258
                     60,                0.79463,                0.34523,                0.87678,                0.99934,                      1,                  0.995,                0.80193,                0.87215,                0.29501,                0.92434,              0.0094159,              0.0094159,              0.0094159
                     61,                0.77304,                0.33365,                0.87158,                0.99937,                      1,                  0.995,                0.80725,                0.84832,                0.29478,                0.91452,               0.009406,               0.009406,               0.009406
                     62,                0.78846,                0.33971,                  0.872,                0.99932,                      1,                  0.995,                0.80708,                0.86607,                0.29551,                0.91963,              0.0093961,              0.0093961,              0.0093961
                     63,                0.77963,                0.33548,                0.87886,                0.99917,                      1,                  0.995,                0.80584,                0.85623,                0.30053,                  0.914,              0.0093862,              0.0093862,              0.0093862
                     64,                0.77996,                 0.3389,                0.87506,                0.99932,                      1,                  0.995,                0.79747,                 0.8804,                0.30079,                0.92797,              0.0093763,              0.0093763,              0.0093763
                     65,                0.77822,                0.33575,                0.87487,                0.99935,                      1,                  0.995,                0.80974,                0.86334,                0.29783,                0.92134,              0.0093664,              0.0093664,              0.0093664
                     66,                0.77286,                0.33402,                0.87384,                0.99936,                      1,                  0.995,                0.80081,                0.86031,                0.29276,                0.92137,              0.0093565,              0.0093565,              0.0093565
                     67,                0.77831,                0.33759,                0.87555,                0.99931,                      1,                  0.995,                 0.7983,                0.88047,                0.30386,                 0.9274,              0.0093466,              0.0093466,              0.0093466
                     68,                0.77599,                0.33527,                0.87435,                0.99934,                      1,                  0.995,                0.80224,                0.87122,                0.30217,                0.91659,              0.0093367,              0.0093367,              0.0093367
                     69,                0.76657,                0.33339,                0.87102,                0.99932,                      1,                  0.995,                0.80335,                0.86346,                0.29356,                 0.9133,              0.0093268,              0.0093268,              0.0093268
                     70,                0.76618,                0.33545,                0.87103,                0.99921,                      1,                  0.995,                0.80699,                  0.839,                0.30077,                0.91861,              0.0093169,              0.0093169,              0.0093169
                     71,                0.77179,                0.33706,                0.87205,                0.99934,                      1,                  0.995,                0.79932,                0.87784,                0.29773,                0.92649,               0.009307,               0.009307,               0.009307
                     72,                0.76239,                0.33483,                0.86955,                0.99923,                      1,                  0.995,                0.80566,                0.85721,                0.29166,                0.92608,              0.0092971,              0.0092971,              0.0092971
                     73,                0.75546,                0.33106,                0.86927,                0.99933,                      1,                  0.995,                 0.8089,                0.85031,                0.29113,                0.91684,              0.0092872,              0.0092872,              0.0092872
                     74,                 0.7657,                0.33153,                0.87098,                0.99895,                      1,                  0.995,                0.80094,                0.85704,                0.29923,                0.91658,              0.0092773,              0.0092773,              0.0092773
                     75,                0.76099,                 0.3301,                0.87126,                0.99926,                      1,                  0.995,                0.80082,                0.85911,                0.29495,                0.91951,              0.0092674,              0.0092674,              0.0092674
                     76,                0.77046,                0.33409,                0.87592,                0.99921,                      1,                  0.995,                0.80086,                0.85918,                0.29068,                 0.9222,              0.0092575,              0.0092575,              0.0092575
                     77,                0.76679,                0.33108,                0.87113,                0.99904,                      1,                  0.995,                0.79957,                0.85004,                0.28572,                0.91914,              0.0092476,              0.0092476,              0.0092476
                     78,                0.75201,                0.32494,                0.86881,                0.99931,                      1,                  0.995,                   0.81,                0.84742,                0.29239,                0.92138,              0.0092377,              0.0092377,              0.0092377
                     79,                0.76188,                0.32994,                0.86931,                0.99906,                      1,                  0.995,                0.80302,                0.87786,                0.29436,                0.92608,              0.0092278,              0.0092278,              0.0092278
                     80,                0.75093,                0.32549,                0.87188,                0.99935,                      1,                  0.995,                0.80948,                0.82657,                0.28972,                 0.9116,              0.0092179,              0.0092179,              0.0092179
                     81,                0.74905,                0.32785,                0.87003,                0.99934,                      1,                  0.995,                0.80566,                0.85724,                0.28922,                0.91774,               0.009208,               0.009208,               0.009208
                     82,                0.74372,                0.32427,                0.87125,                0.99924,                      1,                  0.995,                0.81475,                0.87888,                0.28967,                0.92421,              0.0091981,              0.0091981,              0.0091981
                     83,                0.74884,                0.32661,                0.86776,                0.99936,                      1,                  0.995,                0.80721,                0.85829,                0.28501,                0.92339,              0.0091882,              0.0091882,              0.0091882
                     84,                0.75664,                 0.3258,                0.87007,                0.99932,                      1,                  0.995,                0.80296,                0.86736,                0.28697,                0.92522,              0.0091783,              0.0091783,              0.0091783
